Source: i1
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.65, 0.0728089, 0.744071, 42.6321
freq_monitor_out1, 1.595, 0.0571687, -1.49673, -85.7565
freq_monitor_out1, 1.54355, 0.0285522, -3.60811, 153.271
freq_monitor_out1, 1.49531, 0.062607, -5.58128, 40.2163
freq_monitor_out1, 1.45, 0.0638825, -7.76497, -84.8997
freq_monitor_out2, 1.65, 0.069556, -2.74424, -157.233
freq_monitor_out2, 1.595, 0.0499845, -4.70203, 90.5932
freq_monitor_out2, 1.54355, 0.0574448, -6.59597, -17.9214
freq_monitor_out2, 1.49531, 0.0656773, -8.69872, -138.4
freq_monitor_out2, 1.45, 0.0521074, -10.6386, 110.455
freq_monitor_out3, 1.65, 0.0622463, 0.144921, 8.30339
freq_monitor_out3, 1.595, 0.0661374, -1.74348, -99.894
freq_monitor_out3, 1.54355, 0.0655936, -3.52663, 157.939
freq_monitor_out3, 1.49531, 0.0595655, -5.40747, 50.1749
freq_monitor_out3, 1.45, 0.0579556, -7.15749, -50.0942
freq_monitor_out4, 1.65, 0.0603235, -3.11043, -178.215
freq_monitor_out4, 1.595, 0.0616712, -4.93644, 77.1631
freq_monitor_out4, 1.54355, 0.0651659, -6.63923, -20.3996
freq_monitor_out4, 1.49531, 0.067517, -8.3921, -120.832
freq_monitor_out4, 1.45, 0.0692997, -10.0864, 142.091
Source: i2
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.65, 0.063051, 0.746925, 42.7956
freq_monitor_out1, 1.595, 0.0678225, -1.49792, -85.8244
freq_monitor_out1, 1.54355, 0.0701409, -3.84077, 139.94
freq_monitor_out1, 1.49531, 0.0585664, -6.1661, 6.70825
freq_monitor_out1, 1.45, 0.0683895, -8.34977, -118.407
freq_monitor_out2, 1.65, 0.0611726, 2.30243, 131.92
freq_monitor_out2, 1.595, 0.0723887, -0.0192196, -1.1012
freq_monitor_out2, 1.54355, 0.0772799, -2.31446, -132.609
freq_monitor_out2, 1.49531, 0.0710922, -4.45159, 104.943
freq_monitor_out2, 1.45, 0.0706339, -6.51793, -13.4498
freq_monitor_out3, 1.65, 0.0627399, -2.49477, -142.94
freq_monitor_out3, 1.595, 0.0598892, -4.66142, 92.9205
freq_monitor_out3, 1.54355, 0.06442, -6.89291, -34.9344
freq_monitor_out3, 1.49531, 0.0679579, -9.10321, -161.575
freq_monitor_out3, 1.45, 0.0720255, -11.157, 80.7534
freq_monitor_out4, 1.65, 0.0651844, -1.0882, -62.3494
freq_monitor_out4, 1.595, 0.0652762, -3.22201, 175.393
freq_monitor_out4, 1.54355, 0.0677661, -5.31807, 55.2971
freq_monitor_out4, 1.49531, 0.0684049, -7.40535, -64.2951
freq_monitor_out4, 1.45, 0.0723396, -9.51331, 174.927
Source: i3
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.65, 0.0667243, 0.276454, 15.8396
freq_monitor_out1, 1.595, 0.0646975, -2.0952, -120.046
freq_monitor_out1, 1.54355, 0.0677234, -4.39185, 108.366
freq_monitor_out1, 1.49531, 0.0683722, -6.71422, -24.6965
freq_monitor_out1, 1.45, 0.0678286, -8.98689, -154.911
freq_monitor_out2, 1.65, 0.0743441, 0.388133, 22.2384
freq_monitor_out2, 1.595, 0.0732328, -2.04365, -117.092
freq_monitor_out2, 1.54355, 0.0719102, -4.39385, 108.251
freq_monitor_out2, 1.49531, 0.0730803, -6.73891, -26.1113
freq_monitor_out2, 1.45, 0.073372, -8.94886, -152.732
freq_monitor_out3, 1.65, 0.0743441, 0.409311, 23.4518
freq_monitor_out3, 1.595, 0.0732328, -2.04045, -116.909
freq_monitor_out3, 1.54355, 0.0719102, -4.41337, 107.133
freq_monitor_out3, 1.49531, 0.0730803, -6.74295, -26.3425
freq_monitor_out3, 1.45, 0.073372, -8.94079, -152.27
freq_monitor_out4, 1.65, 0.0667243, 0.268037, 15.3574
freq_monitor_out4, 1.595, 0.0646975, -2.09961, -120.299
freq_monitor_out4, 1.54355, 0.0677234, -4.39007, 108.467
freq_monitor_out4, 1.49531, 0.0683722, -6.70278, -24.0413
freq_monitor_out4, 1.45, 0.0678286, -8.97868, -154.441
Source: i4
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.65, 0.0651844, -1.06041, -60.7571
freq_monitor_out1, 1.595, 0.0652762, -3.21502, 175.793
freq_monitor_out1, 1.54355, 0.0677661, -5.30868, 55.8352
freq_monitor_out1, 1.49531, 0.0684049, -7.38366, -63.0527
freq_monitor_out1, 1.45, 0.0723396, -9.48635, 176.472
freq_monitor_out2, 1.65, 0.0627399, -2.46762, -141.384
freq_monitor_out2, 1.595, 0.0598892, -4.65291, 93.408
freq_monitor_out2, 1.54355, 0.06442, -6.88583, -34.5288
freq_monitor_out2, 1.49531, 0.0679579, -9.09984, -161.383
freq_monitor_out2, 1.45, 0.0720255, -11.151, 81.0947
freq_monitor_out3, 1.65, 0.0611726, 2.2884, 131.116
freq_monitor_out3, 1.595, 0.0723887, -0.0198222, -1.13573
freq_monitor_out3, 1.54355, 0.0772799, -2.2763, -130.422
freq_monitor_out3, 1.49531, 0.0710922, -4.40436, 107.649
freq_monitor_out3, 1.45, 0.0706339, -6.48671, -11.6613
freq_monitor_out4, 1.65, 0.063051, 0.768979, 44.0592
freq_monitor_out4, 1.595, 0.0678225, -1.46344, -83.8488
freq_monitor_out4, 1.54355, 0.0701409, -3.77854, 143.506
freq_monitor_out4, 1.49531, 0.0585664, -6.12189, 9.24134
freq_monitor_out4, 1.45, 0.0683895, -8.31486, -116.406
Source: i5
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.65, 0.0603236, -3.07782, -176.346
freq_monitor_out1, 1.595, 0.0616712, -4.91421, 78.4365
freq_monitor_out1, 1.54355, 0.0651659, -6.59829, -18.0544
freq_monitor_out1, 1.49531, 0.067517, -8.33024, -117.288
freq_monitor_out1, 1.45, 0.0692997, -10.0227, 145.743
freq_monitor_out2, 1.65, 0.0622463, 0.138349, 7.92679
freq_monitor_out2, 1.595, 0.0661374, -1.72539, -98.8573
freq_monitor_out2, 1.54355, 0.0655936, -3.44991, 162.335
freq_monitor_out2, 1.49531, 0.0595655, -5.32271, 55.0312
freq_monitor_out2, 1.45, 0.0579556, -7.11297, -47.5432
freq_monitor_out3, 1.65, 0.069556, -2.70288, -154.864
freq_monitor_out3, 1.595, 0.0499845, -4.64769, 93.7068
freq_monitor_out3, 1.54355, 0.0574448, -6.54985, -15.2787
freq_monitor_out3, 1.49531, 0.0656773, -8.631, -134.52
freq_monitor_out3, 1.45, 0.0521074, -10.5794, 113.843
freq_monitor_out4, 1.65, 0.0728089, 0.806651, 46.2177
freq_monitor_out4, 1.595, 0.0571687, -1.39874, -80.1419
freq_monitor_out4, 1.54355, 0.0285522, -3.59428, 154.063
freq_monitor_out4, 1.49531, 0.062607, -5.51743, 43.8746
freq_monitor_out4, 1.45, 0.0638825, -7.62658, -76.9706
