Source: i1
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out2, 1.52381, 0.0587987, 5.24064, -59.7334
freq_monitor_out2, 1.5, 0.0630033, 6.64499, 20.73
freq_monitor_out3, 1.6, 0.0445888, -0.61743, -35.3761
freq_monitor_out3, 1.57377, 0.046838, 0.674407, 38.6407
freq_monitor_out3, 1.54839, 0.051293, 2.11565, 121.218
freq_monitor_out3, 1.52381, 0.0577789, 3.52176, -158.218
freq_monitor_out3, 1.5, 0.0633177, 4.96221, -75.6862
freq_monitor_out4, 1.6, 0.0429704, -1.42818, -81.8288
freq_monitor_out4, 1.57377, 0.0425919, -0.366512, -20.9996
freq_monitor_out4, 1.54839, 0.0394717, 0.935644, 53.6085
freq_monitor_out4, 1.52381, 0.0354573, 2.39563, 137.259
freq_monitor_out4, 1.5, 0.0367548, 3.95607, -133.334
