Source: i1
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0429704, -1.42818, -81.8288
freq_monitor_out1, 1.57377, 0.0425919, -0.366512, -20.9996
freq_monitor_out1, 1.54839, 0.0394717, 0.935644, 53.6085
freq_monitor_out1, 1.52381, 0.0354573, 2.39563, 137.259
freq_monitor_out1, 1.5, 0.0367548, 3.95607, -133.334
freq_monitor_out2, 1.6, 0.0445888, -0.61743, -35.3761
freq_monitor_out2, 1.57377, 0.046838, 0.674407, 38.6407
freq_monitor_out2, 1.54839, 0.051293, 2.11565, 121.218
freq_monitor_out2, 1.52381, 0.0577789, 3.52176, -158.218
freq_monitor_out2, 1.5, 0.0633177, 4.96221, -75.6862
freq_monitor_out3, 1.6, 0.0454297, 1.16927, 66.9941
freq_monitor_out3, 1.57377, 0.0490735, 2.49665, 143.047
freq_monitor_out3, 1.54839, 0.0535482, 3.83819, -140.088
freq_monitor_out3, 1.52381, 0.0587987, 5.24064, -59.7334
freq_monitor_out3, 1.5, 0.0630033, 6.64499, 20.73
freq_monitor_out4, 1.6, 0.0582402, -2.74724, -157.405
freq_monitor_out4, 1.57377, 0.0578905, -1.41234, -80.9214
freq_monitor_out4, 1.54839, 0.0607305, -0.0214819, -1.23082
freq_monitor_out4, 1.52381, 0.0632202, 1.38519, 79.3654
freq_monitor_out4, 1.5, 0.0652522, 2.87199, 164.553
Source: i2
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0444217, -2.3359, -133.837
freq_monitor_out1, 1.57377, 0.047775, -1.19461, -68.4463
freq_monitor_out1, 1.54839, 0.048771, 0.0630514, 3.61258
freq_monitor_out1, 1.52381, 0.0476852, 1.4502, 83.0901
freq_monitor_out1, 1.5, 0.0494819, 2.9533, 169.212
freq_monitor_out2, 1.6, 0.0632687, -2.18747, -125.333
freq_monitor_out2, 1.57377, 0.0601316, -0.923846, -52.9325
freq_monitor_out2, 1.54839, 0.0626514, 0.474711, 27.199
freq_monitor_out2, 1.52381, 0.0631875, 1.70912, 97.9254
freq_monitor_out2, 1.5, 0.064853, 3.17664, -177.992
freq_monitor_out3, 1.6, 0.0621963, -1.47083, -84.2721
freq_monitor_out3, 1.57377, 0.060689, -0.177478, -10.1687
freq_monitor_out3, 1.54839, 0.062143, 1.12864, 64.6662
freq_monitor_out3, 1.52381, 0.0620948, 2.47434, 141.769
freq_monitor_out3, 1.5, 0.0633178, 4.03531, -128.794
freq_monitor_out4, 1.6, 0.0787083, 0.0572019, 3.27743
freq_monitor_out4, 1.57377, 0.0804633, 1.206, 69.0985
freq_monitor_out4, 1.54839, 0.0778459, 2.5264, 144.752
freq_monitor_out4, 1.52381, 0.0768178, 3.91041, -135.95
freq_monitor_out4, 1.5, 0.0755647, 5.30504, -56.0436
Source: i3
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0594888, -1.68885, -96.7641
freq_monitor_out1, 1.57377, 0.0665365, -0.385815, -22.1056
freq_monitor_out1, 1.54839, 0.0651871, 0.76777, 43.99
freq_monitor_out1, 1.52381, 0.0675343, 2.12711, 121.875
freq_monitor_out1, 1.5, 0.0666662, 3.54755, -156.74
freq_monitor_out2, 1.6, 0.0606655, -2.26179, -129.591
freq_monitor_out2, 1.57377, 0.0660304, -1.13121, -64.8138
freq_monitor_out2, 1.54839, 0.0696188, 0.169239, 9.69668
freq_monitor_out2, 1.52381, 0.0726832, 1.41603, 81.1325
freq_monitor_out2, 1.5, 0.0740537, 2.85335, 163.485
freq_monitor_out3, 1.6, 0.0606655, -2.26179, -129.591
freq_monitor_out3, 1.57377, 0.0660304, -1.13121, -64.8138
freq_monitor_out3, 1.54839, 0.0696188, 0.169239, 9.69669
freq_monitor_out3, 1.52381, 0.0726831, 1.41603, 81.1325
freq_monitor_out3, 1.5, 0.0740537, 2.85335, 163.485
freq_monitor_out4, 1.6, 0.0594888, -1.68885, -96.7641
freq_monitor_out4, 1.57377, 0.0665365, -0.385815, -22.1056
freq_monitor_out4, 1.54839, 0.0651871, 0.76777, 43.99
freq_monitor_out4, 1.52381, 0.0675343, 2.12711, 121.875
freq_monitor_out4, 1.5, 0.0666662, 3.54755, -156.74
Source: i4
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0787083, 0.0572019, 3.27743
freq_monitor_out1, 1.57377, 0.0804633, 1.206, 69.0985
freq_monitor_out1, 1.54839, 0.0778459, 2.5264, 144.752
freq_monitor_out1, 1.52381, 0.0768178, 3.91041, -135.95
freq_monitor_out1, 1.5, 0.0755647, 5.30504, -56.0436
freq_monitor_out2, 1.6, 0.0621963, -1.47083, -84.2721
freq_monitor_out2, 1.57377, 0.060689, -0.177478, -10.1687
freq_monitor_out2, 1.54839, 0.062143, 1.12864, 64.6662
freq_monitor_out2, 1.52381, 0.0620948, 2.47434, 141.769
freq_monitor_out2, 1.5, 0.0633178, 4.03531, -128.794
freq_monitor_out3, 1.6, 0.0632687, -2.18747, -125.333
freq_monitor_out3, 1.57377, 0.0601316, -0.923846, -52.9325
freq_monitor_out3, 1.54839, 0.0626514, 0.474711, 27.199
freq_monitor_out3, 1.52381, 0.0631875, 1.70912, 97.9254
freq_monitor_out3, 1.5, 0.064853, 3.17664, -177.992
freq_monitor_out4, 1.6, 0.0444217, -2.3359, -133.837
freq_monitor_out4, 1.57377, 0.047775, -1.19461, -68.4463
freq_monitor_out4, 1.54839, 0.048771, 0.0630514, 3.61258
freq_monitor_out4, 1.52381, 0.0476852, 1.4502, 83.0901
freq_monitor_out4, 1.5, 0.0494819, 2.9533, 169.212
Source: i5
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0582402, -2.74724, -157.405
freq_monitor_out1, 1.57377, 0.0578905, -1.41234, -80.9214
freq_monitor_out1, 1.54839, 0.0607305, -0.021482, -1.23083
freq_monitor_out1, 1.52381, 0.0632202, 1.38519, 79.3654
freq_monitor_out1, 1.5, 0.0652522, 2.87199, 164.553
freq_monitor_out2, 1.6, 0.0454297, 1.16927, 66.994
freq_monitor_out2, 1.57377, 0.0490735, 2.49665, 143.047
freq_monitor_out2, 1.54839, 0.0535482, 3.83819, -140.088
