Source: i1
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0592957, 1.55738, 89.2314
freq_monitor_out1, 1.57377, 0.0591218, 2.17132, 124.408
freq_monitor_out1, 1.54839, 0.0572528, 2.85329, 163.482
freq_monitor_out1, 1.52381, 0.0566479, 3.62529, -152.286
freq_monitor_out1, 1.5, 0.0551058, 4.56312, -98.5522
freq_monitor_out2, 1.6, 0.0604573, 2.84344, 162.917
freq_monitor_out2, 1.57377, 0.062707, 3.43679, -163.087
freq_monitor_out2, 1.54839, 0.062566, 4.13848, -122.882
freq_monitor_out2, 1.52381, 0.0629107, 4.92184, -77.9992
freq_monitor_out2, 1.5, 0.0631791, 5.7975, -27.8276
freq_monitor_out3, 1.6, 0.0609225, -1.01437, -58.1192
freq_monitor_out3, 1.57377, 0.0622304, -0.392776, -22.5044
freq_monitor_out3, 1.54839, 0.0617213, 0.315324, 18.0668
freq_monitor_out3, 1.52381, 0.0608029, 1.1207, 64.2113
freq_monitor_out3, 1.5, 0.0597637, 2.00395, 114.818
freq_monitor_out4, 1.6, 0.0557029, 2.4709, 141.572
freq_monitor_out4, 1.57377, 0.0574904, 3.1938, -177.009
freq_monitor_out4, 1.54839, 0.0594723, 3.97966, -131.983
freq_monitor_out4, 1.52381, 0.0615818, 4.83741, -82.837
freq_monitor_out4, 1.5, 0.0646853, 5.71443, -32.5872
Source: i2
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0611028, 1.08089, 61.9305
freq_monitor_out1, 1.57377, 0.0625071, 1.68037, 96.2783
freq_monitor_out1, 1.54839, 0.0642103, 2.32605, 133.273
freq_monitor_out1, 1.52381, 0.0641885, 3.06835, 175.804
freq_monitor_out1, 1.5, 0.0657049, 3.94669, -133.871
freq_monitor_out2, 1.6, 0.0625419, 1.0125, 58.0122
freq_monitor_out2, 1.57377, 0.0648442, 1.68566, 96.5812
freq_monitor_out2, 1.54839, 0.0637857, 2.38844, 136.847
freq_monitor_out2, 1.52381, 0.0651672, 3.17259, -178.224
freq_monitor_out2, 1.5, 0.0696552, 4.0568, -127.562
freq_monitor_out3, 1.6, 0.0834541, 2.06558, 118.349
freq_monitor_out3, 1.57377, 0.0788031, 2.69462, 154.39
freq_monitor_out3, 1.54839, 0.074827, 3.41899, -164.106
freq_monitor_out3, 1.52381, 0.0701488, 4.2727, -115.192
freq_monitor_out3, 1.5, 0.0701121, 5.22378, -60.6997
freq_monitor_out4, 1.6, 0.0654833, -1.76206, -100.958
freq_monitor_out4, 1.57377, 0.0657753, -1.06169, -60.8303
freq_monitor_out4, 1.54839, 0.0675582, -0.339863, -19.4727
freq_monitor_out4, 1.52381, 0.0664906, 0.439864, 25.2024
freq_monitor_out4, 1.5, 0.0665014, 1.33902, 76.7203
Source: i3
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0738848, 1.95364, 111.935
freq_monitor_out1, 1.57377, 0.0736063, 2.64663, 151.641
freq_monitor_out1, 1.54839, 0.0734627, 3.34257, -168.485
freq_monitor_out1, 1.52381, 0.0705147, 4.15338, -122.029
freq_monitor_out1, 1.5, 0.0725344, 5.07891, -69.0001
freq_monitor_out2, 1.6, 0.0747757, 0.85271, 48.8567
freq_monitor_out2, 1.57377, 0.0716647, 1.47911, 84.7467
freq_monitor_out2, 1.54839, 0.0714985, 2.27142, 130.143
freq_monitor_out2, 1.52381, 0.072762, 3.04049, 174.207
freq_monitor_out2, 1.5, 0.0729737, 3.89155, -137.031
freq_monitor_out3, 1.6, 0.0747757, 0.85271, 48.8567
freq_monitor_out3, 1.57377, 0.0716647, 1.47911, 84.7467
freq_monitor_out3, 1.54839, 0.0714985, 2.27142, 130.143
freq_monitor_out3, 1.52381, 0.072762, 3.04049, 174.207
freq_monitor_out3, 1.5, 0.0729738, 3.89155, -137.031
freq_monitor_out4, 1.6, 0.0738848, 1.95364, 111.935
freq_monitor_out4, 1.57377, 0.0736063, 2.64663, 151.641
freq_monitor_out4, 1.54839, 0.0734626, 3.34257, -168.485
freq_monitor_out4, 1.52381, 0.0705147, 4.15338, -122.029
freq_monitor_out4, 1.5, 0.0725344, 5.07891, -69.0001
Source: i4
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0654833, -1.76206, -100.958
freq_monitor_out1, 1.57377, 0.0657753, -1.06169, -60.8303
freq_monitor_out1, 1.54839, 0.0675581, -0.339863, -19.4727
freq_monitor_out1, 1.52381, 0.0664905, 0.439864, 25.2024
freq_monitor_out1, 1.5, 0.0665014, 1.33902, 76.7203
freq_monitor_out2, 1.6, 0.0834541, 2.06558, 118.349
freq_monitor_out2, 1.57377, 0.0788031, 2.69462, 154.39
freq_monitor_out2, 1.54839, 0.074827, 3.41899, -164.106
freq_monitor_out2, 1.52381, 0.0701488, 4.2727, -115.192
freq_monitor_out2, 1.5, 0.0701121, 5.22378, -60.6997
freq_monitor_out3, 1.6, 0.0625418, 1.0125, 58.0122
freq_monitor_out3, 1.57377, 0.0648441, 1.68566, 96.5812
freq_monitor_out3, 1.54839, 0.0637857, 2.38844, 136.847
freq_monitor_out3, 1.52381, 0.0651671, 3.17259, -178.224
freq_monitor_out3, 1.5, 0.0696552, 4.0568, -127.562
freq_monitor_out4, 1.6, 0.0611028, 1.08089, 61.9305
freq_monitor_out4, 1.57377, 0.0625071, 1.68037, 96.2783
freq_monitor_out4, 1.54839, 0.0642103, 2.32605, 133.273
freq_monitor_out4, 1.52381, 0.0641885, 3.06835, 175.804
freq_monitor_out4, 1.5, 0.0657049, 3.94669, -133.871
Source: i5
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0557029, 2.4709, 141.572
freq_monitor_out1, 1.57377, 0.0574904, 3.1938, -177.009
freq_monitor_out1, 1.54839, 0.0594723, 3.97966, -131.983
freq_monitor_out1, 1.52381, 0.0615818, 4.83741, -82.837
freq_monitor_out1, 1.5, 0.0646853, 5.71443, -32.5872
freq_monitor_out2, 1.6, 0.0609225, -1.01437, -58.1193
freq_monitor_out2, 1.57377, 0.0622304, -0.392776, -22.5044
freq_monitor_out2, 1.54839, 0.0617213, 0.315324, 18.0668
freq_monitor_out2, 1.52381, 0.0608029, 1.1207, 64.2113
freq_monitor_out2, 1.5, 0.0597637, 2.00395, 114.818
freq_monitor_out3, 1.6, 0.0604573, 2.84344, 162.917
freq_monitor_out3, 1.57377, 0.0627071, 3.43679, -163.087
freq_monitor_out3, 1.54839, 0.062566, 4.13848, -122.882
freq_monitor_out3, 1.52381, 0.0629107, 4.92184, -77.9992
freq_monitor_out3, 1.5, 0.0631791, 5.7975, -27.8276
freq_monitor_out4, 1.6, 0.0592957, 1.55738, 89.2314
freq_monitor_out4, 1.57377, 0.0591218, 2.17132, 124.408
freq_monitor_out4, 1.54839, 0.0572528, 2.85329, 163.482
freq_monitor_out4, 1.52381, 0.0566479, 3.62529, -152.286
freq_monitor_out4, 1.5, 0.0551058, 4.56312, -98.5522
